Airline,Source,Destination,Duration,stops,class,departure time,arrival time,Price,Date
Vietnam Airlines,NRT,PAR,28h 00m,1 stop,economy,10:00,07:00+1,"AED 1,640 ",2024-06-23 
SWISS,PAR,NRT,16h 05m,1 stop,business,09:45,08:50+1,"AED 14,739",2024-07-05
Turkish Airlines,LAX,CMN,23h 25m,1 stop,economy,13:35,21:00+1,"AED 5,003 ",2024-06-14 
British Airways,LAX,IST,16h 55m,1 stop,economy,21:30,00:25+2,"AED 4,250 ",2024-06-17 
Turkish Airlines,PAR,NRT,19h 40m,2 stops,economy,19:50,22:30+1,"AED 2,670 ",2024-06-02 
Ajet,PAR,IST,3h 20m,direct,economy,12:35,16:55,"AED 1,256",2024-07-01
Turkish Airlines,LAX,IST,13h 10m,direct,business,13:35,12:45+1,"AED 17,130 ",2024-06-12 
Turkish Airlines,LAX,CMN,35h 25m,1 stop,business,19:25,14:50+2,"AED 10,880 ",2024-05-29 
Turkish Airlines,CMN,NRT,32h 10m,1 stop,business,16:45,08:55+2,"AED 9,510 ",2024-06-24 
Qatar Airways,IST,LAX,27h 45m,1 stop,economy,13:40,07:25+1,"AED 2,420 ",2024-05-29 
